car_brand;body_type;condition;num_seats;num_doors;mileage;first_reg;power_kW;transmission;displacement;fuel;fuel_eff;color;seller;brand;model;model_details;price;year_built;num_owners;co2_emission_gpkm;fuel_eff_combi_lpkm;fuel_eff_city_lpkm;fuel_eff_highway_lpkm
audi;Kombi;Used_cars;5;5;320000;07/2021;103;Manual;1968.0;Diesel_PF;4,2 l/100 km (komb.)4,7 l/100 km (innerorts)3,9 l/100 km (außerorts);Grey;Private;Audi ;A4;Avant 40 TDI S tronic;3000;2021;2;111;4;4;3
renault;Smallcar;Used_cars;4;4;8985;01/2021;48;Manual;999.0;Super95_91;4,4 l/100 km (komb.)5,3 l/100 km (innerorts)3,8 l/100 km (außerorts);White;Retailer;Renault ;Twingo;Life SCe 65;9990;2021;1;99;4;5;3
renault;Smallcar;Used_cars;4;4;10200;01/2021;48;Manual;999.0;Super95_91;4,5 l/100 km (komb.)5,5 l/100 km (innerorts)3,8 l/100 km (außerorts);Grey;Retailer;Renault ;Twingo;Life Klima;7300;2021;1;102;4;5;3
renault;Limousine;Used_cars;5;4;20000;03/2021;67;Manual;999.0;Super95_91;6,4 l/100 km (komb.)5,1 l/100 km (innerorts)4,4 l/100 km (außerorts);Black;Retailer;Renault ;Clio;V Experience;3990;2021;1;117;6;5;4
toyota;Smallcar;Used_cars;4;2;3900;03/2021;53;Manual;998.0;Super95_91;4,1 l/100 km (komb.)4,9 l/100 km (innerorts)3,6 l/100 km (außerorts);White;Retailer;Toyota ;Aygo;AYGO mit X-Paket*NUR 4000km*Servo*;9900;2021;1;93;4;4;3
ford;Smallcar;Used_cars;5;4;25500;03/2021;55;Manual;1084.0;Super95_91;4,5 l/100 km (komb.)5,4 l/100 km (innerorts)4 l/100 km (außerorts);White;Retailer;Ford ;Fiesta;1.1 TI-VCT Cool & Connect Navi PDC LED;8480;2021;1;102;4;5;4
skoda;Smallcar;Used_cars;5;5;3000;10/2021;70;Manual;999.0;Super95_E10;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Blue;Retailer;Skoda ;Fabia;FABIA TSI STYLE **LED*KLIMAAUTOM.*NSW*PDC*KAMERA;17690;2021;1;105;4;5;3
skoda;Smallcar;Used_cars;5;5;14;09/2021;70;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);White;Retailer;Skoda ;Fabia;III 1,0 TSI Style Plus DAB LED KAMERA KEYLESS PDC;17470;2021;1;105;4;5;3
skoda;Smallcar;Used_cars;5;4;10;07/2021;44;Manual;999.0;Super95;4,5 l/100 km (komb.)5,6 l/100 km (innerorts)3,9 l/100 km (außerorts);Red;Retailer;Skoda ;Fabia;1.0 MPI Active Bluetooth Klima el. Fenster;15290;2021;1;104;4;5;3
skoda;Smallcar;Used_cars;5;4;10550;06/2021;70;Automatic;999.0;Super95_E10_91;4,7 l/100 km (komb.)5,7 l/100 km (innerorts)4,1 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;1.0 TSI Automatik  Style;19390;2021;1;108;4;5;4
